speaker,start_s,end_s,duration_s
Kush,259.6,260.85,1.25
Max,259.69,259.91,0.22
Alicia,259.7,260.9,1.2
Riad,260.11,261.39,1.28
Max,260.21,261.42,1.21
Max,261.71,262.01,0.3
Kush,262.24,262.5,0.26
Kush,263.39,263.74,0.35
Alicia,263.41,263.73,0.32
Riad,263.87,264.27,0.4
Max,263.99,264.24,0.25
Riad,264.94,265.21,0.27
Riad,265.66,265.93,0.27
Kush,265.7,266.25,0.55
Max,266.0,267.15,1.15
Riad,266.41,266.64,0.23
Kush,267.18,267.81,0.63
Alicia,267.18,267.82,0.64
Riad,267.61,268.32,0.71
Max,267.72,268.36,0.64
Riad,268.53,268.85,0.32
Max,268.55,268.82,0.27
Kush,269.08,271.19,2.11
Alicia,269.11,273.47,4.36
Riad,269.19,269.61,0.42
Max,269.2,269.49,0.29
Max,269.77,272.9,3.13
Riad,270.08,272.81,2.73
Kush,271.35,273.46,2.11
Riad,273.1,273.75,0.65
Max,273.12,273.75,0.63
Kush,273.96,275.55,1.59
Alicia,274.06,274.91,0.85
Riad,274.32,275.78,1.46
Max,274.57,275.35,0.78
Alicia,275.13,275.41,0.28
Alicia,276.01,277.71,1.7
Kush,276.03,277.23,1.2
Max,276.43,277.89,1.46
Riad,276.46,277.39,0.93
Kush,277.44,277.7,0.26
Riad,277.6,277.84,0.24
Riad,278.2,279.77,1.57
Kush,278.24,279.39,1.15
Alicia,278.83,279.29,0.46
Max,279.18,279.8,0.62
Kush,279.83,280.57,0.74
Alicia,279.83,280.57,0.74
Riad,280.85,282.1,1.25
Max,280.88,281.5,0.62
Kush,280.96,281.65,0.69
Alicia,280.96,282.09,1.13
Max,281.68,282.11,0.43
Kush,281.87,282.09,0.22
Kush,282.52,283.25,0.73
Alicia,282.71,283.25,0.54
Riad,282.85,283.08,0.23
Max,282.85,283.12,0.27
Alicia,284.53,284.82,0.29
Kush,284.55,284.8,0.25
Riad,284.99,285.31,0.32
Kush,285.26,286.62,1.36
Alicia,285.29,286.21,0.92
Riad,285.84,287.05,1.21
Max,285.97,286.23,0.26
Max,286.68,286.97,0.29
Riad,288.33,288.7,0.37
Kush,288.62,289.75,1.13
Alicia,288.65,289.59,0.94
Riad,289.4,290.09,0.69
Max,289.7,290.07,0.37
Kush,290.0,290.81,0.81
Alicia,290.39,290.61,0.22
Riad,290.58,291.65,1.07
Max,291.99,292.79,0.8
Riad,292.3,292.76,0.46
Max,292.97,294.09,1.12
Riad,292.99,293.27,0.28
Riad,293.71,294.25,0.54
Riad,294.53,296.21,1.68
Max,294.56,294.95,0.39
Alicia,294.89,295.26,0.37
Max,295.21,296.14,0.93
Riad,296.95,297.43,0.48
Max,296.97,297.46,0.49
Riad,297.62,299.43,1.81
Max,297.67,298.06,0.39
Alicia,297.91,298.13,0.22
Max,298.23,299.42,1.19
Riad,299.59,300.16,0.57
Max,299.66,300.33,0.67
Kush,300.45,301.33,0.88
Alicia,300.45,301.33,0.88
Riad,300.87,302.59,1.72
Max,301.03,302.55,1.52
Max,303.18,303.64,0.46
Riad,303.19,303.64,0.45
Riad,304.04,304.67,0.63
Riad,305.51,305.97,0.46
Max,305.54,305.94,0.4
Riad,307.12,307.77,0.65
Kush,307.2,308.16,0.96
Alicia,307.22,307.6,0.38
Alicia,307.83,308.42,0.59
Riad,308.71,309.59,0.88
Max,308.74,309.14,0.4
Kush,309.39,309.98,0.59
Alicia,309.65,309.89,0.24
Riad,309.99,312.06,2.07
Max,310.2,311.94,1.74
Alicia,310.53,311.21,0.68
Kush,311.49,312.36,0.87
Alicia,311.52,311.97,0.45
Riad,312.53,313.47,0.94
Max,312.65,313.51,0.86
Kush,313.32,313.58,0.26
Riad,313.72,314.13,0.41
Max,313.73,314.12,0.39
Kush,313.93,315.43,1.5
Alicia,313.94,315.42,1.48
Kush,315.62,317.03,1.41
Alicia,315.64,316.75,1.11
Max,316.36,317.04,0.68
Riad,316.37,318.37,2.0
Max,317.23,317.86,0.63
Max,318.02,318.3,0.28
Alicia,318.05,321.93,3.88
Kush,318.33,321.93,3.6
Riad,320.15,320.38,0.23
Max,320.16,320.38,0.22
Max,320.71,321.93,1.22
Riad,320.87,321.16,0.29
Riad,321.65,321.93,0.28
